item_id,rater_id,label,split
ASG000b3xp,50f3e1d395ad7f0658000001:eab7f4e70b6dee53eee89bcc71a62055,impala,expert_gold_subset
ASG000b3xp,50f42c6495ad7f018c000001:32f95518ac572d885f355dda0c776f02,blank,expert_gold_subset
ASG000b3xp,50f459efdea653185c000001:8ea7f8f664b4359ecb8e37204f3b4c03,reedbuck,expert_gold_subset
ASG000b3xp,50f49909dea653732e000001:2ff7be5cadcc81c582dca445f2eff4c3,reedbuck,expert_gold_subset
ASG000b3xp,50f4a416dea6535b64000001:d5f5473d170cf82ee0f9aafa214a3ba6,dikDik,expert_gold_subset
ASG000b3xp,50f4b552dea6536cd7000001:a23f0e117b34c06fd0233246642e7e09,reedbuck,expert_gold_subset
ASG000b3xp,50f4c47b95ad7f4938000001:7278941235372156d7954ae3583d77da,blank,expert_gold_subset
ASG000b3xp,50f4c510dea6532bac000001:ee784a81a85dbc544de736bb0cbf5fb1,dikDik,expert_gold_subset
ASG000b3xp,50f4c867dea6533a54000001:87bf353b18b2f990b1ab24183ffb0208,impala,expert_gold_subset
ASG000b3xp,50f4cd4895ad7f6c58000001:933815223408e658177c990d848e2c0f,reedbuck,expert_gold_subset
ASG000b3xp,50f50541dea65374b9000001:b84145fb366e9a57b67241641c939552,reedbuck,expert_gold_subset
ASG000b3xp,50f5b013dea6537364000001:c779088aa4e4c4bf96af6ab94a41be18,reedbuck,expert_gold_subset
ASG000b3xp,50f5d876dea6536a6c000001:310b808be2e86387382ca227671cbafd,dikDik,expert_gold_subset
ASG000b3xp,50f5eb67dea65306fa000001:2b14b823d1e63983cf155b4b5d2a949c,reedbuck,expert_gold_subset
ASG000b3xp,50f5f91695ad7f4c99000001:not-logged-in-ff7057310700898c5f65332c93c70014,reedbuck,expert_gold_subset
ASG000b3xp,50f60774dea65323a4000001:11499a3d835b93c4f5acaeed424c76bd,impala,expert_gold_subset
ASG000b3xp,50f6431895ad7f7512000001:b543f85ecd26682ec8186ca968ed394a,reedbuck,expert_gold_subset
ASG000b3xp,50f6ec2edea6530382000001:0303a26ca5309bee413878dc01e09a7d,reedbuck,expert_gold_subset
ASG000b3xp,5106b000dea6534790000001:7cc0c04980b1cfafafba1720df3e16c7,reedbuck,expert_gold_subset
ASG000b3xp,5117105c76cbad184f000da7:946f5323e26964ecd9977543a7ec88b8,reedbuck,expert_gold_subset
ASG000b3xp,5119aeba07f67514e700090a:59cd8c20a78b5adc73f48967bd924dee,reedbuck,expert_gold_subset
ASG000b3xp,511ac2f92f48cc0f630062f6:dd24a45117537ec2242120381461eaa7,blank,expert_gold_subset
ASG000b3xp,511ceb6707f67523e8002003:f8e61a27e7ad7c79e9de2f8a83a6cdc1,bushbuck,expert_gold_subset
ASG000b3xp,5121a05e07f67501c3006f44:fffab8b4ea3e77e8ec279d05bc2e17e0,reedbuck,expert_gold_subset
ASG000b3xp,51350071e0a59b04bb002ba6:not-logged-in-1a1721b183665310ea5276467e5c6af2,blank,expert_gold_subset
ASG000b3xp,513a4c64aa17f81cc7005d47:b19dc4f22f76f3b24027198e69d6c6c3,blank,expert_gold_subset
ASG000b3xp,516eef325a1d812376001502:4940be4d89f84081f60636bd20190432,dikDik,expert_gold_subset
ASG000b3xp,517b16e7de59d9072501a9ce:68040f67607a838be8dd536819ed82f0,reedbuck,expert_gold_subset
ASG000b3xp,51996fe2643d13044201493c:ae294c8c4c3ecb1216aba63e43aa18b6,reedbuck,expert_gold_subset
ASG000b45v,50f4d264dea6535980000001:049f35481b48f8b483d764880ac21a8a,zebra,expert_gold_subset
ASG000b45v,50f50cc395ad7f26f1000001:c50a7d5fbabac56414bae0c6befa601f,wildebeest|zebra,expert_gold_subset
ASG000b45v,50f5231995ad7f6320000001:c50a7d5fbabac56414bae0c6befa601f,wildebeest|zebra,expert_gold_subset
ASG000b45v,50f54ce595ad7f3498000001:4653508a5af114b36cbe70d6fa16b4fa,zebra,expert_gold_subset
ASG000b45v,50f56e6fdea6530f10000001:46a01f28d7e19410bc3a78a450031696,zebra,expert_gold_subset
ASG000b45v,50f5c12895ad7f0d9d000001:f89d9c75c20ae715537cefacc5421829,zebra,expert_gold_subset
ASG000b45v,50f5c31fdea6532552000001:a29c6123596aabd8830b047f058b8df0,zebra,expert_gold_subset
ASG000b45v,50f5c4cedea653302b000001:8e81e374de2488f7c106a1f821a1dd4f,zebra,expert_gold_subset
ASG000b45v,50f5dc5895ad7f0704000001:9517c880be553c38d7deceb1fa7ee238,zebra,expert_gold_subset
ASG000b45v,50f633cbdea65361c9000001:3836f02756d8b0c17a9c14add9540147,zebra,expert_gold_subset
ASG000b45v,50f655b9dea65335d9000001:785cf2043dfa0dd9aa23c2f2ac04f8f6,zebra,expert_gold_subset
ASG000b45v,50f6a39f95ad7f1dc5000001:c5b9d5cc98266eb54c31c0903d2f789d,zebra,expert_gold_subset
ASG000b45v,5102cf9cdea6531164000001:8ea7f8f664b4359ecb8e37204f3b4c03,zebra,expert_gold_subset
ASG000b45v,5106751fdea6533154000001:6c80996fca425d7d59d67ca47d4cef29,zebra,expert_gold_subset
ASG000b45v,5107ed2895ad7f090b000001:c28820e9f83208da181568f2f310327f,zebra,expert_gold_subset
ASG000b45v,5109373ddea6533675000001:2628f5b61dd867d2828b6f4583388d8c,zebra,expert_gold_subset
ASG000b45v,510b4ed73cc0d379a00021b2:fb3f8572f1575c8e3e8835525516ba19,zebra,expert_gold_subset
ASG000b45v,51191f6576cbad509f00585f:9f7eb170edf1523096cfe97bf887bf76,zebra,expert_gold_subset
ASG000b45v,5123b94e2f48cc194d005652:866d7cd57501f2f80e47777517c2baa4,zebra,expert_gold_subset
ASG000b45v,512644b4ea731b49ee00218f:ac0d29c61c7557774ecd14be8af8d1ad,zebra,expert_gold_subset
ASG000b45v,5132293ac2a847757c0022ed:5eaa771fcafc028cac1b777ac58c9647,zebra,expert_gold_subset
ASG000b45v,513b9c5c92816c45b4002975:e55ce68a70d50f97c6f5b4c1f0e4d058,zebra,expert_gold_subset
ASG000b45v,5157f07e2dda9056e1002793:5dabc5a2e66668965a1b64b5f7104b78,zebra,expert_gold_subset
ASG000b45v,515f24b179807c1eb7001709:not-logged-in-b1616943154d02ad5170a55cd06e7638,zebra,expert_gold_subset
ASG000b45v,5163122979807c3b9600cc88:not-logged-in-da67abc80282c41a29e047f0b4234456,blank,expert_gold_subset
ASG000b45v,51634dfb79807c3b9600e2a9:not-logged-in-0bab4a6733f2a5e38fcc43c73402e325,zebra,expert_gold_subset
ASG000b45v,5173c6b25a1d81064c00d9ac:not-logged-in-a824f2e936c3f01d5ab139974522c27f,zebra,expert_gold_subset
ASG000b45v,5177ca41ded910459d0067ca:904136a140106f3e19a72c2044ecd748,zebra,expert_gold_subset
ASG000b45v,5178448bde59d90725003181:ff62f5a7f5b8ea432d45ea2c6322fbe0,zebra,expert_gold_subset
ASG000b48a,50ecad0160d4050d0b0004e0:ec4abe55860235e1b2c81c3c2540428c,reedbuck,expert_gold_subset
ASG000b48a,50ecbd839ba28b249e0000b2:17d923db18724ed5ba42a129d65eaaf1,reedbuck,expert_gold_subset
ASG000b48a,50ed75715aadce175b00005d:d5f5473d170cf82ee0f9aafa214a3ba6,impala,expert_gold_subset
ASG000b48a,50eda8449ba28b1102000138:c88140c8c4ad1f8f372a9c1a6f0c6899,reedbuck,expert_gold_subset
ASG000b48a,50edb6bd5aadce4d77000022:c21a2dee0faedcb95f76879429ac853b,reedbuck,expert_gold_subset
ASG000b48a,50edd958d71dcd18fb000156:103e7b43f50b0adeb9c2a6fcb4f351e7,reedbuck,expert_gold_subset
ASG000b48a,50ee4d0b84af3b2aa0000001:8b17ba45b5d6e4eca63050620172ff16,reedbuck,expert_gold_subset
ASG000b48a,50eeea3e84af3b0cb4000001:7c9a7feeae4111beb2e8212d6ad464ec,reedbuck,expert_gold_subset
ASG000b48a,50eeea8584af3b186a000001:16b30156f893fae6988f488490d1a878,blank,expert_gold_subset
ASG000b48a,50eeed5884af3b17e9000001:afde985bfc171eeae19eb75a337e499d,gazelleGrants,expert_gold_subset
ASG000b48a,50eefcff84af3b4e06000001:a23f0e117b34c06fd0233246642e7e09,gazelleGrants,expert_gold_subset
